date,open,high,close,low,volume,amount
2017-02-03,350.39,350.39,344.39,344.18,7939600.0,128245271.0
2017-01-26,349.32,351.46,347.82,347.61,7899352.0,128791547.0
2017-01-25,348.89,351.46,348.68,346.96,14799522.0,240469504.0
2017-01-24,354.89,356.39,348.89,348.46,13531823.0,221753973.0
2017-01-23,356.39,359.18,354.89,354.46,12354188.0,205841867.0
2017-01-20,354.89,356.39,356.18,352.53,21716190.0,360067760.0
2017-01-19,353.82,356.61,353.61,351.03,21388240.0,353214265.0
2017-01-18,354.46,357.03,355.75,350.61,17424414.0,289157382.0
2017-01-17,353.61,354.89,354.03,350.61,15732161.0,259231420.0
2017-01-16,347.6,357.25,355.32,345.89,59296187.0,976319644.0
2017-01-13,345.25,352.96,349.32,344.82,29518267.0,480727045.0
2017-01-12,341.6,348.46,345.25,340.96,23730675.0,383723777.0
2017-01-11,336.89,343.53,341.6,336.89,25495665.0,406451185.0
2017-01-10,333.25,339.25,338.82,333.25,13882481.0,218759012.0
2017-01-09,330.25,334.96,334.32,330.25,10098426.0,157069534.0
2017-01-06,336.46,336.67,329.82,329.17,19381625.0,302578190.0
2017-01-05,339.68,339.68,335.6,335.39,11223292.0,176482368.0
2017-01-04,336.89,338.82,338.39,334.96,10541741.0,165919368.0
2017-01-03,337.96,339.68,337.53,336.03,12191682.0,192082251.0
2016-12-30,328.32,337.75,337.53,327.89,27202064.0,424365938.0
2016-12-29,328.53,330.46,328.32,327.89,11954355.0,183497338.0
2016-12-28,331.75,332.82,329.82,327.89,13977896.0,215321598.0
2016-12-27,330.46,333.03,331.75,330.46,9656435.0,149631059.0
2016-12-26,327.46,333.46,331.75,327.46,14156547.0,218207102.0
2016-12-23,333.25,333.25,330.89,327.03,20085245.0,308901432.0
2016-12-22,336.25,336.25,332.6,332.17,17352183.0,269775867.0
2016-12-21,337.75,339.25,335.6,334.75,21260312.0,333884055.0
2016-12-20,341.17,341.6,337.53,334.32,28133430.0,442003086.0
2016-12-19,342.89,343.32,340.75,339.67,11935499.0,189836240.0
2016-12-16,343.53,345.68,343.32,342.89,18688303.0,299926548.0
2016-12-15,344.82,348.46,343.75,342.89,19552527.0,314540596.0
2016-12-14,354.68,354.68,347.18,345.03,18901744.0,308805997.0
2016-12-13,353.82,356.18,353.82,352.53,17475519.0,288810800.0
2016-12-12,356.39,362.82,357.03,344.18,51732430.0,852958783.0
2016-12-09,357.89,360.25,357.25,356.39,43965374.0,734629977.0
2016-12-08,360.68,361.11,358.11,357.89,17944783.0,300481223.0
2016-12-07,358.32,361.11,360.25,358.32,15724969.0,264065292.0
2016-12-06,355.75,362.39,358.53,353.82,31099414.0,520979056.0
2016-12-05,359.18,362.61,356.39,351.03,40449944.0,669589724.0
2016-12-02,358.75,364.32,364.32,358.53,62069371.0,1049717690.0
2016-12-01,358.32,362.18,360.03,357.68,24290458.0,408021514.0
2016-11-30,362.18,365.82,359.18,358.32,31069385.0,524846152.0
2016-11-29,358.53,364.11,362.18,356.61,31681175.0,532015987.0
2016-11-28,364.53,365.61,358.75,358.53,41085491.0,694679809.0
2016-11-25,362.18,364.32,363.46,356.39,26298356.0,442348726.0
2016-11-24,361.32,367.54,362.61,361.32,27032445.0,459015368.0
2016-11-23,363.68,365.61,362.18,361.75,20572270.0,348822626.0
2016-11-22,363.25,365.18,362.61,361.32,23248574.0,393667694.0
2016-11-21,361.11,366.68,362.18,360.25,25519558.0,431632632.0
2016-11-18,363.89,364.96,361.75,360.68,25125689.0,426147470.0
2016-11-17,363.25,365.61,364.11,360.03,23204726.0,393309789.0
2016-11-16,364.32,367.32,363.25,362.82,22338166.0,379265872.0
2016-11-15,362.82,364.32,363.25,360.89,36703913.0,620610182.0
2016-11-14,365.61,372.68,363.89,363.25,63595251.0,1089742985.0
2016-11-11,360.03,368.61,366.04,358.11,50461910.0,859046531.0
2016-11-10,356.82,361.96,359.18,356.82,22940828.0,385153879.0
2016-11-09,357.25,357.25,353.82,352.75,40545205.0,670917531.0
2016-11-08,359.82,363.04,357.03,355.96,22919688.0,382648825.0
2016-11-07,358.96,359.82,358.11,355.75,16694890.0,278311021.0
2016-11-04,354.46,357.68,356.82,354.03,27623655.0,459076318.0
2016-11-03,349.53,362.18,355.96,348.68,48688168.0,811617133.0
2016-11-02,350.61,353.82,350.61,348.89,24031644.0,394449509.0
2016-11-01,349.11,352.53,351.03,349.11,15964239.0,261649353.0
2016-10-31,348.68,351.46,348.89,343.1,17213477.0,279249714.0
2016-10-28,343.32,355.53,348.68,343.32,38573159.0,630957625.0
2016-10-27,343.1,346.32,344.18,342.68,12174083.0,195566033.0
2016-10-26,345.03,346.53,343.75,342.46,11771124.0,189154029.0
2016-10-25,345.89,348.68,345.68,343.75,18005626.0,290255465.0
2016-10-24,342.46,352.32,345.89,341.82,39692196.0,643630095.0
2016-10-21,339.03,343.1,342.25,339.03,18961823.0,302254101.0
2016-10-20,340.32,341.82,339.68,339.25,7311499.0,116089196.0
2016-10-19,342.25,343.75,339.89,339.68,10174568.0,162016068.0
2016-10-18,337.75,343.32,342.25,337.75,16358496.0,260362573.0
2016-10-17,342.03,342.68,337.96,336.46,12352902.0,196208847.0
2016-10-14,342.46,343.75,342.03,340.32,9007012.0,143766137.0
2016-10-13,343.11,344.39,342.46,341.18,12753018.0,203926412.0
2016-10-12,344.39,345.68,343.11,342.03,12135252.0,194436789.0
2016-10-11,344.39,345.89,345.03,343.11,13552239.0,217952728.0
2016-10-10,342.89,344.61,344.18,340.75,15951080.0,255309066.0
2016-09-30,341.39,343.53,340.96,340.75,9682882.0,154433093.0
2016-09-29,341.82,345.89,342.46,340.75,18738208.0,300520204.0
2016-09-28,341.82,342.25,340.75,340.53,10508946.0,167285968.0
2016-09-27,339.03,342.03,341.6,338.6,17554003.0,279283552.0
2016-09-26,339.46,342.46,340.1,337.75,24150267.0,383957404.0
2016-09-23,342.03,342.89,340.75,340.75,8574098.0,136661563.0
2016-09-22,343.32,344.39,342.03,341.18,14655430.0,233935966.0
2016-09-21,340.96,344.6,341.82,340.32,18724915.0,298548828.0
2016-09-20,342.46,343.1,341.18,340.53,15457680.0,245948151.0
2016-09-19,341.6,342.25,340.96,340.75,17438477.0,277578071.0
2016-09-14,341.82,343.32,341.6,340.75,26043422.0,414845172.0
2016-09-13,342.68,344.39,343.96,340.75,21880610.0,349391718.0
2016-09-12,334.32,344.61,344.18,333.89,76022810.0,1204832085.0
2016-09-09,340.75,344.82,340.96,340.53,24300407.0,388623265.0
2016-09-08,339.89,341.39,340.53,338.82,11648244.0,185188533.0
2016-09-07,338.82,341.18,339.89,338.18,23851700.0,378266404.0
2016-09-06,340.1,342.25,338.82,335.82,22685294.0,358243447.0
2016-09-05,340.53,342.89,340.75,339.46,19927012.0,316987261.0
2016-09-02,335.18,341.39,340.96,334.96,28928584.0,457114984.0
2016-09-01,338.6,339.68,336.68,335.18,17464107.0,274929339.0
2016-08-31,337.53,340.1,339.46,336.68,13117505.0,207359421.0
2016-08-30,336.89,339.46,337.96,336.03,19699632.0,310634911.0
2016-08-29,338.6,339.03,336.46,334.32,13930789.0,218567897.0
2016-08-26,337.1,339.68,337.53,335.82,18672205.0,294340641.0
2016-08-25,336.46,339.68,336.89,334.96,20806092.0,327224101.0
2016-08-24,338.6,339.46,336.89,335.18,18941146.0,297873325.0
