Date,Open,High,Low,Close,Volume,Adj Close
2016-03-29,23.02,23.15,22.33,22.48,15012446.0,22.48
2016-03-28,22.41,23.2,22.28,23.16,19979019.0,23.16
2016-03-25,23.15,23.38,22.02,22.54,24455057.0,22.54
2016-03-24,23.32,23.87,23.08,23.16,25912702.0,23.16
2016-03-23,24.48,25.32,23.92,24.35,34142464.0,24.35
2016-03-22,23.02,25.12,22.82,25.09,45631956.0,25.09
2016-03-21,22.82,23.97,22.53,23.42,30604919.0,23.42
2016-03-18,23.27,23.82,23.02,23.34,28462695.0,23.34
2016-03-17,23.54,23.66,22.72,23.01,24730709.0,23.01
2016-03-16,22.33,23.21,22.06,22.85,19581107.0,22.85
2016-03-15,23.32,23.52,22.08,22.61,29998336.0,22.61
2016-03-14,22.54,24.35,22.5,24.25,27349811.0,24.25
2016-03-11,23.83,24.19,23.12,23.3,24947221.0,23.3
2016-03-10,22.03,23.9,21.9,22.8,27916610.0,22.8
2016-03-09,23.01,23.8,22.35,22.51,27213698.0,22.51
2016-03-08,24.02,25.39,23.32,24.1,49400091.0,24.1
2016-03-07,22.23,24.45,21.92,24.45,44325913.0,24.45
2016-03-04,22.82,23.88,22.12,22.23,46202346.0,22.23
2016-03-03,20.92,22.24,20.67,22.15,32294358.0,22.15
2016-03-02,19.82,20.89,19.64,20.81,23234622.0,20.81
2016-03-01,19.5,20.52,19.22,20.37,25884491.0,20.37
2016-02-29,19.92,20.52,18.59,19.13,22269460.0,19.13
2016-02-26,21.0,21.18,19.61,20.51,20776700.0,20.51
2016-02-25,22.16,22.82,20.52,20.84,36683630.0,20.84
2016-02-24,21.94,23.97,21.39,22.17,41384543.0,22.17
2016-02-23,21.07,22.39,20.82,22.18,33776426.0,22.18
2016-02-22,21.17,21.47,20.98,21.39,16368724.0,21.39
2016-02-19,22.39,22.39,20.97,21.31,17131559.0,21.31
2016-02-18,22.24,22.62,21.72,21.76,20908500.0,21.76
2016-02-17,21.13,22.86,21.12,22.36,25643685.0,22.36
2016-02-16,21.02,23.0,19.88,22.02,27552601.0,22.02
2016-02-15,21.02,21.24,20.7,21.24,17095753.0,21.24
2016-02-05,18.78,19.82,18.74,19.31,18723780.0,19.31
2016-02-04,18.27,18.96,18.12,18.21,10864802.0,18.21
2016-02-03,17.46,17.99,16.88,17.67,7865127.0,17.67
2016-02-02,17.3,17.7,17.23,17.52,7284494.0,17.52
2016-02-01,16.87,17.73,16.73,17.11,8479790.0,17.11
2016-01-29,16.42,17.38,15.81,17.01,10594083.0,17.01
2016-01-28,18.14,18.55,16.82,16.82,10814611.0,16.82
2016-01-27,19.62,19.82,17.92,18.69,12394870.0,18.69
2016-01-26,20.14,20.83,18.32,19.51,18292341.0,19.51
2016-01-25,19.83,20.35,19.83,20.1,9199594.0,20.1
2016-01-22,19.51,20.16,18.82,20.09,11179637.0,20.09
2016-01-21,20.72,21.47,19.92,20.03,16792450.0,20.03
2016-01-20,19.27,21.33,19.08,20.58,15431258.0,20.58
2016-01-19,18.7,19.51,18.52,19.47,11587216.0,19.47
2016-01-18,17.79,19.6,17.62,19.17,12155005.0,19.17
2016-01-15,19.37,19.71,18.1,18.35,14135976.0,18.35
2016-01-14,18.72,20.22,18.03,20.11,16366226.0,20.11
2016-01-13,20.9,22.0,19.86,19.9,18443325.0,19.9
2016-01-12,23.02,23.22,22.06,22.06,24052541.0,22.06
2016-01-11,23.46,25.64,23.25,24.51,36895453.0,24.51
2016-01-08,23.2,24.19,22.36,24.19,34297029.0,24.19
2016-01-07,23.31,24.09,21.82,21.99,9906000.0,21.99
2016-01-06,21.64,24.48,21.64,23.73,37534986.0,23.73
2016-01-05,21.02,22.27,20.32,22.26,24668403.0,22.26
2016-01-04,21.22,22.52,19.62,20.25,13266547.0,20.25
2015-12-31,21.62,21.88,21.11,21.35,6258156.0,21.35
2015-12-30,21.53,22.01,21.43,21.99,8328191.0,21.99
2015-12-29,21.02,21.9,20.82,21.78,12204891.0,21.78
2015-12-28,22.1,22.32,21.13,21.22,11708790.0,21.22
2015-12-25,22.9,23.0,21.97,22.33,12668621.0,22.33
2015-12-24,22.36,22.83,22.22,22.8,12718349.0,22.8
2015-12-23,22.41,22.99,22.06,22.49,16747495.0,22.49
2015-12-22,23.3,23.48,22.44,22.73,17989167.0,22.73
2015-12-21,22.8,23.3,22.5,22.93,19419720.0,22.93
2015-12-18,22.77,23.22,22.28,22.88,27886844.0,22.88
2015-12-17,23.7,23.7,22.47,23.42,37730272.0,23.42
2015-12-16,22.47,24.3,22.4,23.69,40923772.0,23.69
2015-12-15,22.22,23.5,21.92,22.81,44663072.0,22.81
2015-12-14,19.69,21.59,19.52,21.59,17330214.0,21.59
2015-12-11,18.89,19.88,18.51,19.63,16214623.0,19.63
2015-12-10,19.03,19.47,18.92,19.05,9323352.0,19.05
2015-12-09,18.73,19.87,18.63,19.47,14105983.0,19.47
2015-12-08,18.82,19.33,18.65,18.89,10505929.0,18.89
2015-12-07,19.62,19.97,19.22,19.42,16232989.0,19.42
2015-12-04,19.02,19.31,18.69,18.77,13459826.0,18.77
2015-12-03,18.13,18.82,17.93,18.69,11355432.0,18.69
